,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
121,Liam Gallagher,One of Us,2019,rock,track
122,Babe Rainbow,Something New,2019,rock,track
123,Norman,Here We Go,2019,rock,track
124,Demob Happy,Autoportrait,2019,rock,track
125,STARSET,ECHO,2019,rock,track
126,Fire From The Gods,Right Now,2019,rock,track
127,Dayglow,Listerine,2019,rock,track
128,Bad Wolves,Learn To Walk Again,2019,rock,track
129,ZZ Top,Sharp Dressed Man - 2019 Remaster,2019,rock,track
130,I Prevail,Paranoid,2019,rock,track
131,The Beatles,Here Comes The Sun - 2019 Mix,2019,rock,track
132,Mac DeMarco,On The Square,2019,rock,track
133,El Cuarteto De Nos,Anónimo,2019,rock,track
134,Rival Sons,Shooting Stars,2019,rock,track
135,El Cuarteto De Nos,Hombre Con Alas,2019,rock,track
136,Crumb,Cracking,2019,rock,track
137,Dirty Honey,When I'm Gone,2019,rock,track
138,Volbeat,Pelvis On Fire,2019,rock,track
139,The Rolling Stones,Don't Stop,2019,rock,track
140,Eclipse,Viva La Victoria,2019,rock,track
141,Bad Wolves,Sober,2019,rock,track
142,The Backseat Lovers,Watch Your Mouth,2019,rock,track
143,Jadu Heart,Forgotten Ghosts,2019,rock,track
144,The Black Keys,Fire Walk With Me,2019,rock,track
145,LEISURE,Easy Way Out,2019,rock,track
146,Cruzando El Charco,Lo Nuestro Tiene Magia,2019,rock,track
147,WildHeart,Animal,2019,rock,track
148,WildHeart,Lonely,2019,rock,track
149,WildHeart,Seeing It Through,2019,rock,track
150,Bring Me The Horizon,Ludens,2019,rock,track
151,Bring Me The Horizon,i don't know what to say,2019,rock,track
152,Bring Me The Horizon,why you gotta kick me when i'm down?,2019,rock,track
153,DAY6,Sweet Chaos,2019,rock,track
154,The Neighbourhood,Yellow Box,2019,rock,track
155,Various Artists,Chances,2019,rock,track
156,Alcest,Sapphire,2019,rock,track
157,MorMor,Some Place Else,2019,rock,track
158,Psychedelic Porn Crumpets,Hymn For A Droid,2019,rock,track
159,Matt Maeson,Cringe,2019,rock,track
160,Boy Harsher,LA,2019,rock,track
161,Vampire Weekend,Sunflower (feat. Steve Lacy),2019,rock,track
162,Foals,In Degrees,2019,rock,track
163,The Score,Rush,2019,rock,track
164,beabadoobee,She Plays Bass,2019,rock,track
165,Papa Roach,The Ending,2019,rock,track
166,Skillet,Victorious,2019,rock,track
167,Twin Tribes,The River,2019,rock,track
168,White Lies,Tokyo,2019,rock,track
169,David Lebón,Puedo Sentirlo (feat. Julieta Venegas),2019,rock,track
170,The Rolling Stones,Yer Blues - Remastered 2018,2019,rock,track
171,No Te Va Gustar,Poco,2019,rock,track
172,The Script,The Last Time,2019,rock,track
173,I Prevail,Every Time You Leave,2019,rock,track
174,Stereophonics,Fly Like an Eagle,2019,rock,track
175,Vanessa Van Ness,True True Shot,2019,rock,track
176,The Heavy,Burn Bright,2019,rock,track
177,Grizfolk,Spoonful,2019,rock,track
178,Korn,Can You Hear Me,2019,rock,track
179,Mötley Crüe,The Dirt (Est. 1981) (feat. Machine Gun Kelly),2019,rock,track
180,Stereophonics,Fly Like an Eagle,2019,rock,track
181,Airbourne,Boneshaker,2019,rock,track
182,The Rolling Stones,Living In A Ghost Town,2019,rock,track
183,Samantha Fish,Bulletproof - Tangle Eye Mix,2019,rock,track
184,Five Finger Death Punch,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",2019,rock,track
185,"Christone ""Kingfish"" Ingram",Outside Of This Town,2019,rock,track
186,Various Artists,"Somewhere Only We Know - Live at Live 8, Hyde Park, London, 2nd July 2005",2019,rock,track
187,Bryan Adams,Shine A Light,2019,rock,track
188,Snowy White,This Feeling,2019,rock,track
189,Dirty Honey,Rolling 7s,2019,rock,track
190,Quaker City Night Hawks,Suit in the Back,2019,rock,track
191,Orchestral Manoeuvres In The Dark,Dreaming - Remastered 2019,2019,rock,track
192,Allah-Las,Houston,2019,rock,track
193,Volbeat,Cheapside Sloggers,2019,rock,track
194,Allah-Las,Star,2019,rock,track
195,Snowy White,The Situation,2019,rock,track
196,The Mystery Lights,Goin' Down,2019,rock,track
197,The Black Keys,Eagle Birds,2019,rock,track
198,Volbeat,7:24,2019,rock,track
199,Lloyd Spiegel,Any Second Now,2019,rock,track
200,The Rose,Strangers,2019,rock,track
