,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
96,Various Artists,I Need You - Miami Master 2k19,2019-10-04,funk_brazil,track
97,Various Artists,Vôo Sobre O Horizonte,2019-02-08,funk_brazil,track
98,Various Artists,Na baixa do sapateiro,2019-12-27,funk_brazil,track
99,Various Artists,Hot Summer '85,2019-01-07,funk_brazil,track
100,Various Artists,Call & Response,2019-07-13,funk_brazil,track
101,Various Artists,Goldfish,2019-10-21,funk_brazil,track
102,Duoscience,Street One,2019-07-09,funk_brazil,track
103,Various Artists,Souvenirs,2019-06-27,funk_brazil,track
104,nCamargo,Relay,2019-12-20,funk_brazil,track
105,Softmal,Let It Roll - Melodic Mix,2019-02-15,funk_brazil,track
106,Duoscience,Marya - Vocal Version,2019-03-25,funk_brazil,track
107,Various Artists,Attraction,2019-09-16,funk_brazil,track
108,Various Artists,All Night Long,2019-02-17,funk_brazil,track
109,Various Artists,Killer Transmissions,2019-07-26,funk_brazil,track
110,Duoscience,Rescue - VIP,2019-02-04,funk_brazil,track
111,Duoscience,Thirst - Original,2019-06-24,funk_brazil,track
112,nCamargo,Bulk,2019-12-20,funk_brazil,track
113,Softmal,Fly Buzzes In Orbit,2019-04-26,funk_brazil,track
114,Various Artists,"Tamborim, Cuíca, Ganzá, Berimbau",2019-12-27,funk_brazil,track
115,Various Artists,Tonight,2019-12-20,funk_brazil,track
116,Various Artists,"I Know - Mark M., Yomo Remix",2019-10-30,funk_brazil,track
117,Various Artists,Na baixa do sapateiro,2019-03-29,funk_brazil,track
118,Mystific,The Sun - Abstr4ct Remix,2019-08-30,funk_brazil,track
119,Various Artists,Alright,2019-01-07,funk_brazil,track
120,Duoscience,Hold It - Original,2019-05-27,funk_brazil,track
121,nCamargo,Bending,2019-02-19,funk_brazil,track
122,Various Artists,Soul de verão (Fame) [Reggae Version],2019-11-22,funk_brazil,track
123,Duoscience,New York City,2019-07-09,funk_brazil,track
124,nCamargo,Arrival,2019-02-19,funk_brazil,track
125,Various Artists,Casa forte,2019-04-19,funk_brazil,track
126,Various Artists,Move Your Feet - Miami Master 2k19,2019-10-21,funk_brazil,track
127,Various Artists,Call & Response,2019-09-16,funk_brazil,track
128,Duoscience,Plus Me - Original,2019-05-20,funk_brazil,track
129,Various Artists,Na baixa do sapateiro,2019-03-29,funk_brazil,track
130,Various Artists,Vôo sobre o horizonte,2019-01-25,funk_brazil,track
131,Duoscience,Diesel - Original,2019-06-24,funk_brazil,track
132,Various Artists,Na baixa do sapateiro,2019-12-27,funk_brazil,track
133,Various Artists,Caminho da roça,2019-11-22,funk_brazil,track
134,Duoscience,Losing It - Original,2019-09-20,funk_brazil,track
135,Various Artists,Despertar,2019-12-27,funk_brazil,track
136,Various Artists,Urubu malandro,2019-05-24,funk_brazil,track
137,nCamargo,Lift Off,2019-10-18,funk_brazil,track
138,Various Artists,I Need You,2019-09-16,funk_brazil,track
139,Various Artists,Mr Funky Samba,2019-07-12,funk_brazil,track
140,Various Artists,Mr Funky Samba,2019-11-22,funk_brazil,track
141,Duoscience,Hidden Sea,2019-12-11,funk_brazil,track
142,Various Artists,Vôo sobre o horizonte,2019-05-31,funk_brazil,track
143,nCamargo,New Heights,2019-10-18,funk_brazil,track
144,S.P.Y,See Your Face Again,2019-03-08,funk_brazil,track
145,Duoscience,Air Bongs,2019-03-11,funk_brazil,track
146,Various Artists,Jack & Coca-Cola,2019-09-16,funk_brazil,track
147,Various Artists,Ling Ling,2019-07-11,funk_brazil,track
148,Various Artists,On Time,2019-05-10,funk_brazil,track
149,nCamargo,Get It,2019-09-20,funk_brazil,track
150,Various Artists,Vôo sobre o horizonte,2019-04-05,funk_brazil,track
151,Various Artists,Tonight,2019-10-21,funk_brazil,track
152,Various Artists,Danceland,2019-05-10,funk_brazil,track
153,Duoscience,Hamashia - Original,2019-06-24,funk_brazil,track
154,Various Artists,Goldfish,2019-07-13,funk_brazil,track
155,Duoscience,IT,2019-06-05,funk_brazil,track
156,Various Artists,Pain - Henry Remix,2019-12-01,funk_brazil,track
157,Various Artists,Re-Souvenirs,2019-12-20,funk_brazil,track
158,Various Artists,Back & Forth,2019-09-16,funk_brazil,track
159,Various Artists,One Shot,2019-12-27,funk_brazil,track
160,Various Artists,I Need You,2019-06-27,funk_brazil,track
161,Various Artists,Alright,2019-07-11,funk_brazil,track
162,Various Artists,Indifferences,2019-09-09,funk_brazil,track
163,Various Artists,Na baixa do sapateiro,2019-02-15,funk_brazil,track
164,nCamargo,Intrepid,2019-12-20,funk_brazil,track
165,Various Artists,Na baixa do sapateiro,2019-02-08,funk_brazil,track
166,Various Artists,Vôo sobre o horizonte,2019-09-20,funk_brazil,track
167,Various Artists,Casa forte,2019-11-29,funk_brazil,track
168,Duoscience,Mindset of Love - Original,2019-05-20,funk_brazil,track
169,Various Artists,Safari In The Dark,2019-08-19,funk_brazil,track
170,Various Artists,Tonight,2019-08-26,funk_brazil,track
171,Mystific,Para Days,2019-02-22,funk_brazil,track
172,Duoscience,Assurance,2019-12-11,funk_brazil,track
173,Duoscience,Roma,2019-12-11,funk_brazil,track
174,Various Artists,Come On Baby,2019-07-11,funk_brazil,track
175,Various Artists,Nobody Strike,2019-01-07,funk_brazil,track
176,Various Artists,Viva la vida - Nave e P. Dash Remix,2019-12-27,funk_brazil,track
177,Various Artists,Maria fumaça,2019-05-31,funk_brazil,track
178,Various Artists,Urubu malandro,2019-07-19,funk_brazil,track
179,Duoscience,Out On The Range,2019-12-11,funk_brazil,track
180,Various Artists,Sexy Lady - Miami Master 2k19,2019-10-04,funk_brazil,track
181,Various Artists,I Need You,2019-12-20,funk_brazil,track
182,Various Artists,Teardrops,2019-06-27,funk_brazil,track
183,Various Artists,Silence,2019-01-25,funk_brazil,track
184,Duoscience,Pump Ouu,2019-02-11,funk_brazil,track
185,Various Artists,Memory,2019-01-31,funk_brazil,track
186,Various Artists,I Need You - Miami Master 2k19,2019-10-04,funk_brazil,track
187,Various Artists,Leblon via vaz lobo,2019-03-01,funk_brazil,track
188,Duoscience,Sweet and Dark - Original,2019-05-27,funk_brazil,track
189,Various Artists,Na baixa do sapateiro,2019-12-06,funk_brazil,track
190,Duoscience,Everything Is Fine,2019-06-05,funk_brazil,track
191,Softmal,Shiny,2019-02-15,funk_brazil,track
192,Various Artists,Nobody Strike,2019-06-27,funk_brazil,track
193,Duoscience,Outsider - Original,2019-06-24,funk_brazil,track
194,Various Artists,Ling Ling,2019-10-21,funk_brazil,track
195,Various Artists,Vôo sobre o horizonte,2019-05-24,funk_brazil,track
196,Various Artists,Impactive,2019-05-18,funk_brazil,track
197,Various Artists,Night Traffic - Simplification Remix,2019-11-29,funk_brazil,track
198,Various Artists,Tonight,2019-07-11,funk_brazil,track
199,Various Artists,Ling Ling,2019-07-13,funk_brazil,track
200,Duoscience,Marya - Instrumental,2019-03-25,funk_brazil,track
201,Various Artists,Allright,2019-08-26,funk_brazil,track
202,nCamargo,Amagalamate,2019-09-20,funk_brazil,track
203,Various Artists,Sexy Lady,2019-10-14,funk_brazil,track
204,Various Artists,Nobody Strike,2019-06-27,funk_brazil,track
205,Duoscience,Portfolio,2019-06-05,funk_brazil,track
206,Various Artists,I Need You,2019-06-27,funk_brazil,track
207,Various Artists,I Need You - Miami Master 2k19,2019-04-13,funk_brazil,track
208,Various Artists,Groovin' That Funky,2019-01-07,funk_brazil,track
209,Duoscience,Hamashia - Original,2019-06-24,funk_brazil,track
210,Various Artists,Groovin' That Funky - LLølita Edit,2019-10-21,funk_brazil,track
211,Various Artists,Tonight,2019-12-20,funk_brazil,track
212,Various Artists,Skyy Catz,2019-08-26,funk_brazil,track
213,Various Artists,Come On Baby,2019-06-27,funk_brazil,track
214,Various Artists,Fever - Extended Mix,2020-07-06,funk_brazil,track
215,Various Artists,Free Jazz,2020-12-28,funk_brazil,track
216,Various Artists,No auge,2020-07-24,funk_brazil,track
217,Duoscience,Datã - Original,2020-03-16,funk_brazil,track
218,Various Artists,Na baixa do sapateiro,2020-03-13,funk_brazil,track
219,Duoscience,Absolutely,2020-08-12,funk_brazil,track
220,Various Artists,Mr Funky Samba,2020-04-03,funk_brazil,track
221,Various Artists,Groovin' That Funky - LLølita Edit,2020-01-10,funk_brazil,track
222,Various Artists,A presa,2020-06-26,funk_brazil,track
223,Various Artists,Gratitude,2020-06-26,funk_brazil,track
224,nCamargo,Make It Better,2020-07-27,funk_brazil,track
225,Mystific,About Love,2020-07-17,funk_brazil,track
226,Duoscience,Subtlety - Original,2020-06-12,funk_brazil,track
227,Various Artists,Eu Sou - Ao Vivo,2020-05-04,funk_brazil,track
228,Various Artists,Casa forte,2020-05-29,funk_brazil,track
229,Various Artists,Tonight,2020-01-10,funk_brazil,track
230,Various Artists,Allright,2020-01-24,funk_brazil,track
231,Various Artists,So Glad,2020-07-27,funk_brazil,track
232,Various Artists,Dun Da - Extended mix,2020-07-06,funk_brazil,track
233,Duoscience,Street One,2020-08-12,funk_brazil,track
234,Various Artists,Despertar,2020-03-06,funk_brazil,track
235,Various Artists,Soul de verão (Fame) [Reggae Version],2020-10-02,funk_brazil,track
236,Summer Sun 2020,Beauty Queen,2020-10-09,funk_brazil,track
237,Various Artists,Re-Souvenirs,2020-01-24,funk_brazil,track
238,Various Artists,Just This One Night,2020-10-09,funk_brazil,track
239,Softmal,Osiris,2020-12-07,funk_brazil,track
240,Duoscience,Trianon,2020-08-12,funk_brazil,track
241,Duoscience,Promise - Original,2020-06-22,funk_brazil,track
242,nCamargo,Keep It Up,2020-05-15,funk_brazil,track
243,Duoscience,Origins,2020-05-29,funk_brazil,track
244,MC Guime,Tá Patrão - Ao Vivo,2020-08-21,funk_brazil,track
245,Various Artists,Leblon via vaz lobo,2020-03-13,funk_brazil,track
246,Various Artists,Dance Machine,2020-08-24,funk_brazil,track
247,Duoscience,Daily Life,2020-08-12,funk_brazil,track
248,Mystific,Hold Me,2020-03-06,funk_brazil,track
249,Duoscience,Morfosis,2020-05-29,funk_brazil,track
250,Mystific,Sun Goes Down,2020-08-31,funk_brazil,track
251,Various Artists,Nobody Strike,2020-07-06,funk_brazil,track
252,Duoscience,Misterio - V.I.P,2020-11-20,funk_brazil,track
253,Various Artists,Low Low Low Rider - Miami Master 2k19,2020-01-24,funk_brazil,track
254,Various Artists,Pina Colada,2020-09-11,funk_brazil,track
255,Various Artists,Make My Heart Sing,2020-12-18,funk_brazil,track
256,Mystific,Someday - There Is a Hope,2020-03-06,funk_brazil,track
257,nCamargo,Only The Truth,2020-05-15,funk_brazil,track
258,Various Artists,Isis,2020-07-27,funk_brazil,track
259,Duoscience,Attempts,2020-08-12,funk_brazil,track
260,Various Artists,Sensacional (feat. Cacife Clandestino & MC Kevin o Chris),2020-08-28,funk_brazil,track
261,Duoscience,Surrender - Origina,2020-01-13,funk_brazil,track
262,Duoscience,Reflection - Original,2020-06-22,funk_brazil,track
263,Various Artists,Tonight,2020-07-27,funk_brazil,track
264,Various Artists,Urubu malandro,2020-04-17,funk_brazil,track
265,Various Artists,Urubu malandro,2020-10-09,funk_brazil,track
266,Various Artists,Rowdy Horn - Extended Mix,2020-05-28,funk_brazil,track
267,Duoscience,My Way - Original,2020-06-22,funk_brazil,track
268,Various Artists,Honey - Extended Mix,2020-12-18,funk_brazil,track
269,Various Artists,Fever,2020-10-09,funk_brazil,track
270,Various Artists,Souvenirs - Miami Master 2k19,2020-01-10,funk_brazil,track
271,Various Artists,Minha Vez,2020-05-04,funk_brazil,track
272,Softmal,Isis,2020-12-07,funk_brazil,track
273,Various Artists,Touch,2020-07-27,funk_brazil,track
274,Various Artists,Sweet Magic,2020-09-11,funk_brazil,track
275,Mystific,Girl,2020-10-02,funk_brazil,track
276,Various Artists,The Alley,2020-12-21,funk_brazil,track
277,Duoscience,Good Transitions,2020-11-20,funk_brazil,track
278,LLølita,Make My Heart Sing - Radio Edit,2020-07-24,funk_brazil,track
279,Various Artists,Tonight,2020-09-21,funk_brazil,track
280,Various Artists,Dun Da - Extended mix,2020-07-27,funk_brazil,track
281,Duoscience,I Saw This Before,2020-08-12,funk_brazil,track
282,Various Artists,Free Jazz,2020-07-13,funk_brazil,track
283,Duoscience,Harvest - Original,2020-10-05,funk_brazil,track
284,Duoscience,Ironic,2020-08-17,funk_brazil,track
285,Softmal,Osiris,2020-07-13,funk_brazil,track
286,Mystific,Not Enough Energy,2020-03-06,funk_brazil,track
287,Duoscience,Lose The Touch,2020-08-17,funk_brazil,track
288,Various Artists,Minha Vez,2020-05-04,funk_brazil,track
289,Various Artists,San Juan Sunset,2020-11-06,funk_brazil,track
290,Various Artists,Eu Sou - Ao Vivo,2020-05-04,funk_brazil,track
291,Papatinho,5 Estrelas,2020-07-24,funk_brazil,track
292,Various Artists,Bring Us Back - Extended Mix,2020-09-21,funk_brazil,track
293,nCamargo,Do It Your Way,2020-05-15,funk_brazil,track
294,Various Artists,Ling Ling,2020-01-10,funk_brazil,track
295,Duoscience,Moments - Original,2020-06-22,funk_brazil,track
296,Duoscience,Like U - Original,2020-01-13,funk_brazil,track
297,Various Artists,Saudade,2020-05-15,funk_brazil,track
298,Various Artists,Aliados,2020-04-13,funk_brazil,track
299,Various Artists,Knockout,2020-12-21,funk_brazil,track
300,Various Artists,Unfolded,2020-12-21,funk_brazil,track
301,Various Artists,So Glad,2020-12-18,funk_brazil,track
302,Various Artists,Dance Machine,2020-07-27,funk_brazil,track
303,Various Artists,Million Days - Extended Mix,2020-07-27,funk_brazil,track
304,Various Artists,Fato raro,2020-08-01,funk_brazil,track
305,Various Artists,Skyy Catz,2020-01-10,funk_brazil,track
306,Duoscience,One Love To Me - Original,2020-06-12,funk_brazil,track
307,Various Artists,La Song,2020-07-06,funk_brazil,track
308,Softmal,Horus,2020-12-07,funk_brazil,track
309,Mystific,In My Brain - Radio Edit,2020-03-06,funk_brazil,track
310,Various Artists,Whoomp Just a Little - Softmal 2k20 Remix,2020-07-06,funk_brazil,track
311,Various Artists,Whoomp Just a Little - Miami Master 2k19,2020-01-10,funk_brazil,track
312,Duoscience,All Is Found - Original Mix,2020-03-09,funk_brazil,track
313,MC Guime,Na Pista Eu Arraso - Ao Vivo,2020-08-21,funk_brazil,track
314,Mystical Sound,The Sun - Mystical Sound Remix,2020-09-18,funk_brazil,track
315,Various Artists,Soul de verão (Fame) [Reggae Version],2020-07-31,funk_brazil,track
316,Mystific,Pain - Nostre Remix,2020-03-06,funk_brazil,track
317,Mystific,The Right Moment,2020-03-06,funk_brazil,track
318,nCamargo,As It Is,2020-07-27,funk_brazil,track
319,Various Artists,A presa,2020-10-23,funk_brazil,track
320,Various Artists,Groovin' That Funky - LLølita Edit,2020-03-09,funk_brazil,track
321,Various Artists,SpaceX,2020-05-20,funk_brazil,track
322,Duoscience,Revenge,2020-02-03,funk_brazil,track
323,Duoscience,Reverse Cube,2020-11-13,funk_brazil,track
324,Various Artists,Leblon via vaz lobo,2020-02-21,funk_brazil,track
325,LLølita,Fever - Extended Mix,2020-07-24,funk_brazil,track
326,Softmal,Dun Da - Extended mix,2020-04-20,funk_brazil,track
327,Various Artists,Get Down,2020-12-21,funk_brazil,track
328,nCamargo,Chosen One,2020-05-15,funk_brazil,track
329,Mystific,Same Skies - Radio Edit,2020-03-06,funk_brazil,track
330,Softmal,Dun Da - Radio Edit,2020-04-20,funk_brazil,track
331,Various Artists,Re-Souvenirs,2020-05-28,funk_brazil,track
332,Mystific,Anymore,2020-11-02,funk_brazil,track
333,Mystific,Life Is Too Short,2020-03-06,funk_brazil,track
334,Various Artists,Bring Us Back - Extended Mix,2020-07-27,funk_brazil,track
335,Various Artists,Re-Souvenirs,2020-02-21,funk_brazil,track
336,Various Artists,Dun Da - Extended mix,2020-09-21,funk_brazil,track
337,Duoscience,Emmaus,2020-09-28,funk_brazil,track
338,Various Artists,Killer Transmissions,2020-12-21,funk_brazil,track
339,Various Artists,Rowdy Horn - Extended Mix,2020-12-18,funk_brazil,track
340,Various Artists,Fever - Extended Mix,2020-07-27,funk_brazil,track
341,nCamargo,Far As I Can Go,2020-05-15,funk_brazil,track
342,Duoscience,Wonderland - RE-EDIT,2020-10-05,funk_brazil,track
343,Various Artists,Nobody Strike,2020-01-10,funk_brazil,track
344,Various Artists,Casa forte,2020-01-03,funk_brazil,track
345,Various Artists,I Need You - Miami Master 2k19,2020-02-21,funk_brazil,track
346,Various Artists,Pleiades,2020-10-05,funk_brazil,track
347,Duoscience,Shallow,2020-11-13,funk_brazil,track
348,Various Artists,Move Your Feet - Miami Master 2k19,2020-01-10,funk_brazil,track
349,Various Artists,Tonight,2020-04-11,funk_brazil,track
350,Various Artists,Isis,2020-12-18,funk_brazil,track
351,Duoscience,John - Original,2020-10-05,funk_brazil,track
352,Various Artists,Atlantic Desire,2020-12-21,funk_brazil,track
353,Various Artists,Skyy Catz,2020-08-24,funk_brazil,track
354,Various Artists,Tonight,2020-02-21,funk_brazil,track
355,nCamargo,Remains The Same,2020-03-19,funk_brazil,track
356,Mystific,Touch Me - Peron Remix,2020-03-06,funk_brazil,track
357,nCamargo,Got To Be,2020-07-27,funk_brazil,track
358,Various Artists,La Song,2020-09-21,funk_brazil,track
359,nCamargo,Once Upon A Time,2020-07-27,funk_brazil,track
360,Various Artists,Nobody Strike,2020-04-13,funk_brazil,track
