,nombre_artista,nombre_canción,año_lanzamiento,género_musical,tipo
0,Various Artists,Walk Me Home,2019,pop,track
1,Various Artists,Wow.,2019,pop,track
2,Various Artists,Déjame Ser,2019,pop,track
3,Various Artists,Bonita,2019,pop,track
4,Marisol,"Corre, Corre Caballito - Remasterizado",2019,pop,track
5,Various Artists,I Was Made for Dancin',2019,pop,track
6,Various Artists,Malibu,2019,pop,track
7,Da Igual,Eres Tú,2019,pop,track
8,Los Rebeldes,Tequila - Remasterizado,2019,pop,track
9,Various Artists,No volveré - A seguir tus pasos,2019,pop,track
10,Los Rebeldes,Prefiero Verte Muerta - Remasterizado,2019,pop,track
11,Los Directivos,Los Viejos,2019,pop,track
12,Various Artists,Breakout,2019,pop,track
13,Various Artists,Atravesándote - Live,2019,pop,track
14,Various Artists,Ni Gucci Ni Prada - Remix,2019,pop,track
15,Marisol,Adiós al Colegio - Remasterizado,2019,pop,track
16,Various Artists,Ya Para Qué,2019,pop,track
17,Eladio y Los Seres Queridos,Quemé una Bandera por Ti - Edición Deluxe,2019,pop,track
18,Los Rebeldes,Great Balls of Fire - En Directo Coin Julio 1994,2019,pop,track
19,Various Artists,Estrella Polar - En Directo En La Voz / 2019,2019,pop,track
20,Los Rebeldes,Oh! Darling (Ensayos Básicamente) - Remasterizado,2019,pop,track
21,Various Artists,Pa Olvidarte,2019,pop,track
22,Los Rebeldes,Hacerte el Amor (Ensayos Básicamente) - Remasterizado,2019,pop,track
23,Marisol,Corazón Contento - Remasterizado,2019,pop,track
24,Various Artists,Voy a Mil,2019,pop,track
25,Various Artists,Feel This Moment (feat. Christina Aguilera),2019,pop,track
26,Los Rebeldes,Un Español en Nueva York (Ensayos Básicamente) - Remasterizado,2019,pop,track
27,Various Artists,Ni La Hora,2019,pop,track
28,Various Artists,Presiento,2019,pop,track
29,Various Artists,A trabajos forzados,2019,pop,track
30,Various Artists,Un niño,2019,pop,track
31,Various Artists,Los Románticos,2019,pop,track
32,Various Artists,SOS,2019,pop,track
33,Marisol,Muchachita - Remasterizado,2019,pop,track
34,Duo Dinamico,Ala Hula Rock (Original Mix),2019,pop,track
35,Various Artists,De tus ojos - Versión Carlos Jean,2019,pop,track
36,Neleonard,¿Dónde Están Los Niños?,2019,pop,track
37,Various Artists,Después de tu adiós,2019,pop,track
